title,image_url,sadness,neutral,contempt,disgust,anger,surprise,fear,happiness,score
Pusha T - DAYTONA ALBUM REVIEW,https://i.ytimg.com/vi/z605Rm7lFTM/hqdefault.jpg,0.045,0.662,0.244,0.004,0.001,0.005,0.001,0.037,8
Parquet Courts - Wide Awake! ALBUM REVIEW,https://i.ytimg.com/vi/4ZZREmYnygU/hqdefault.jpg,0.001,0,0,0.001,0.115,0,0.001,0.883,9
Courtney Barnett - Tell Me How You Really Feel ALBUM REVIEW,https://i.ytimg.com/vi/GkeHYp7MASY/hqdefault.jpg,0,0.991,0.002,0,0,0.003,0,0.004,6
Arctic Monkeys - Tranquility Base Hotel + Casino ALBUM REVIEW,https://i.ytimg.com/vi/uNAm2pFDgBA/hqdefault.jpg,0.028,0.702,0.088,0.008,0.06,0.063,0.038,0.012,5
Beach House - 7 ALBUM REVIEW,https://i.ytimg.com/vi/nWcEHLFmKdE/hqdefault.jpg,0.007,0.004,0,0.018,0.001,0.18,0.789,0,7
Post Malone - beerbongs & bentleys ALBUM REVIEW,https://i.ytimg.com/vi/a1olq-lfc-I/hqdefault.jpg,0.005,0.008,0.017,0.047,0.017,0.676,0.226,0.003,7
Felix Blume - Death In Haiti: Funeral Brass Bands & Sounds From Port Au Prince ALBUM REVIEW,https://i.ytimg.com/vi/43tFabU6610/hqdefault.jpg,0,0.003,0,0,0.006,0.127,0.003,0.861,none
A Perfect Circle - Eat the Elephant ALBUM REVIEW,https://i.ytimg.com/vi/ZruuCzKf70k/hqdefault.jpg,0.052,0.777,0.085,0.007,0.001,0,0,0.078,5
"Hop Along - Bark Your Head Off, Dog ALBUM REVIEW",https://i.ytimg.com/vi/_C0gp-HN7NY/hqdefault.jpg,0.001,0.975,0.003,0,0.02,0.001,0,0,8
J. Cole - KOD ALBUM REVIEW,https://i.ytimg.com/vi/D5vrzzxGxwc/hqdefault.jpg,0.001,0.756,0.011,0.002,0.164,0.064,0.002,0.001,5
John Prine - The Tree of Forgiveness ALBUM REVIEW,https://i.ytimg.com/vi/BN8x5zo3iNs/hqdefault.jpg,0.001,0.973,0.001,0,0.001,0.024,0,0,7
Sons of Kemet - Your Queen Is a Reptile ALBUM REVIEW,https://i.ytimg.com/vi/x7lQBFEURZY/hqdefault.jpg,0,0.93,0.012,0.001,0.055,0.001,0,0,8
Kali Uchis - Isolation ALBUM REVIEW,https://i.ytimg.com/vi/x9e_8zRuuO8/hqdefault.jpg,0,0,0,0,0,0,0,1,8
Flatbush Zombies - Vacation in Hell ALBUM REVIEW,https://i.ytimg.com/vi/pf0hDdf2QJc/hqdefault.jpg,0,0.979,0.002,0,0,0,0,0.018,6
Cardi B - Invasion of Privacy ALBUM REVIEW,https://i.ytimg.com/vi/mxMQEy8sQJI/hqdefault.jpg,0,0.495,0,0,0,0.001,0,0.503,6
Jean Grae x Quelle Chris - Everything's Fine ALBUM REVIEW,https://i.ytimg.com/vi/om3JC1JSdnI/hqdefault.jpg,0,0,0,0,0,0.539,0.042,0.418,8
CZARFACE & MF DOOM - Czarface Meets Metal Face ALBUM REVIEW,https://i.ytimg.com/vi/LIMy-Bp353E/hqdefault.jpg,0,0,0,0,0,0,0,1,7
The Voidz - Virtue ALBUM REVIEW,https://i.ytimg.com/vi/3CrD91zHkLg/hqdefault.jpg,0.251,0.726,0.02,0,0,0,0,0.002,8
Superorganism - Self-Titled ALBUM REVIEW,https://i.ytimg.com/vi/05AewlnZfE4/hqdefault.jpg,0,0.089,0,0,0,0,0,0.911,7
Mount Eerie - Now Only ALBUM REVIEW,https://i.ytimg.com/vi/AhVPv5q9Ik8/hqdefault.jpg,0,0.971,0,0,0,0.016,0,0.012,7
XXXTENTACION - ? ALBUM REVIEW,https://i.ytimg.com/vi/gWUdEgaTdo8/hqdefault.jpg,0,0.004,0.852,0.004,0,0.14,0.001,0,4
Natalia Lafourcade - Musas Vol. 2 ALBUM REVIEW,https://i.ytimg.com/vi/7TABeq5TLGY/hqdefault.jpg,0,0,0,0,0,0,0,1,8
David Byrne - American Utopia ALBUM REVIEW,https://i.ytimg.com/vi/Kh2_xvw3LUA/hqdefault.jpg,0.001,0.967,0.002,0.001,0.017,0,0,0.011,7
Andrew W.K. - You're Not Alone ALBUM REVIEW,https://i.ytimg.com/vi/tLWPSqE0DC4/hqdefault.jpg,0,0.898,0.001,0,0.007,0.093,0,0,8
Screaming Females - All at Once ALBUM REVIEW,https://i.ytimg.com/vi/aVDeTMPuyDM/hqdefault.jpg,0,0,0.001,0.046,0.543,0.177,0.072,0.16,8
U.S. Girls - In a Poem Unlimited ALBUM REVIEW,https://i.ytimg.com/vi/6qC-ZLOK-8Y/hqdefault.jpg,0,0.993,0.001,0,0.001,0.001,0,0.003,8
Car Seat Headrest - Twin Fantasy (Face to Face) ALBUM REVIEW,https://i.ytimg.com/vi/EcFJbKJxjDA/hqdefault.jpg,0,0.001,0,0,0,0,0,0.998,8
Various Artists - Black Panther The Album ALBUM REVIEW,https://i.ytimg.com/vi/TcMeRrIJe1M/hqdefault.jpg,0.003,0.92,0.004,0,0.001,0.055,0.008,0.009,6
MGMT - Little Dark Age ALBUM REVIEW,https://i.ytimg.com/vi/eQ3Wd60Qddw/hqdefault.jpg,0,0,0,0,0,0.014,0,0.986,8
Rich Brian - Amen ALBUM REVIEW,https://i.ytimg.com/vi/gPdD04_9A9A/hqdefault.jpg,0,0.433,0,0,0.003,0.562,0,0.002,6
Justin Timberlake - Man of the Woods ALBUM REVIEW,https://i.ytimg.com/vi/tKHC0X2EwAs/hqdefault.jpg,0,0.373,0.173,0.003,0.008,0.332,0.002,0.11,3
Portal - Ion ALBUM REVIEW,https://i.ytimg.com/vi/W3SopqFy2eg/hqdefault.jpg,0,0.929,0.001,0,0,0.056,0,0.014,9
Migos - Culture II ALBUM REVIEW,https://i.ytimg.com/vi/cTYg1mAd8tA/hqdefault.jpg,0.001,0.722,0.001,0,0,0.256,0,0.02,4
JPEGMAFIA - Veteran ALBUM REVIEW,https://i.ytimg.com/vi/S9gg0JOTF2E/hqdefault.jpg,0,0,0,0,0,0,0,1,8
Aphex Twin - Selected Ambient Works 85-92 ALBUM REVIEW,https://i.ytimg.com/vi/RUAXoNP9WiU/hqdefault.jpg,0,0.956,0.001,0,0,0.042,0,0.001,classic
Michael Jackson - Thriller ALBUM REVIEW,https://i.ytimg.com/vi/oKl3pPQ-IRc/hqdefault.jpg,0,0.026,0.004,0,0,0.005,0,0.965,classic
Daft Punk - Discovery ALBUM REVIEW,https://i.ytimg.com/vi/6aq9epwmMKo/hqdefault.jpg,0.004,0.054,0.092,0.009,0.014,0.796,0.031,0,classic
Eminem - Revival ALBUM REVIEW,https://i.ytimg.com/vi/14Py6kcxKKQ/hqdefault.jpg,0.014,0.036,0,0.001,0.011,0.857,0.008,0.073,2
Brockhampton - Saturation III ALBUM REVIEW,https://i.ytimg.com/vi/sL0YnMbzmow/hqdefault.jpg,0.01,0.257,0.004,0.032,0.026,0.606,0.064,0.001,8
Hopsin - No Shame ALBUM REVIEW,https://i.ytimg.com/vi/OKYedko0w8Y/hqdefault.jpg,0.031,0.126,0.021,0.025,0.012,0.516,0.26,0.01,4
Jaden Smith - SYRE ALBUM REVIEW,https://i.ytimg.com/vi/YABApZSuUIA/hqdefault.jpg,0.001,0.678,0.002,0,0,0.313,0.001,0.003,4
Taylor Swift - Reputation ALBUM REVIEW,https://i.ytimg.com/vi/qDAxDcjgn-8/hqdefault.jpg,0,0.004,0,0.005,0.17,0.737,0.082,0.002,4
